x_n    By Euler              By AB2                By RK4                Exact                 
0.0    0.0                   0.0                   0.0                   0.0                   
0.08   0.48                  0.48                  0.3241070783102275    0.3248513649231628    
0.16   0.5818290187037815    0.39274352805567214   0.4473467299405445    0.4481117366204968    
0.24   0.558009984528733     0.4876225384633936    0.47159377932986374   0.47217642967579065   
0.32   0.49789962249729147   0.4164311037190864    0.44960067663427744   0.44998768359974883   
0.4    0.4323442276396882    0.40383898773457055   0.4083332523661637    0.40856676013885534   
0.48   0.3713218247265541    0.34637818509355833   0.36127142300144444   0.36139928463002213   
0.56   0.3174644421696133    0.3109275299927524    0.31488567526279976   0.31494638146837206   
0.64   0.27090150060011975   0.26630527992421027   0.2720406656715109    0.2720612775581882    
0.72   0.2309824444335763    0.23202872641141947   0.23377848912576604   0.23377664708367732   
0.8    0.1968790041635059    0.19835787277456512   0.2002483463398119    0.20023496072148145   
0.88   0.16778677013629673   0.1706863382350795    0.17118721023057526   0.1711687372607923    
0.96   0.14298477188413108   0.1457191104511431    0.146164896484783     0.1461449872315685    
1.04   0.12184585970085526   0.12471463806959114   0.12470601260323641   0.12468661633435679   
1.12   0.10383101134762746   0.10638278273884474   0.10634799137116642   0.10633005812551842   
1.2    0.08847924618718724   0.09083086771722519   0.09066631204307055   0.09065022455292165   
1.28   0.07539714620630542   0.07744261050247567   0.07728319567425081   0.0772690275936581    
1.36   0.06424924804705383   0.0660506864193279    0.0658682568348689    0.06585592331134593   
1.44   0.05474961142161279   0.05630034829818351   0.05613549008711835   0.05612483332982787   
1.52   0.046654546272164796  0.047995321764351846  0.04783881730713741   0.04782965374180339   
1.6    0.03975638361519454   0.04090470168162353   0.040767298040945726  0.04075944320579417   
1.68   0.03387815601108581   0.034863104417673596  0.034740522409569555  0.034733803210276824  
1.76   0.028869060457465404  0.02971048620023035   0.029604407616938506  0.029598667570138903  
1.84   0.024600590645275706  0.02531974403580975   0.02522746937769848   0.025222570086747293  
1.92   0.020963240553208317  0.021576822786575613  0.021497567222105347  0.02149338792428282   
2.0    0.017863695244798156  0.018387270010932356  0.018319090144704946  0.018315526353559458  
